date,djct
2003-02-10,3390.21
2003-02-11,3353.65
2003-02-12,3305.76
2003-02-13,3302.94
2003-02-14,3361.58
2003-02-18,3415.87
2003-02-19,3389.27
2003-02-20,3365.39
2003-02-21,3401.81
2003-02-24,3327.9
2003-02-25,3353.55
2003-02-26,3316.64
2003-02-27,3341.31
2003-02-28,3345.25
2003-03-03,3343.55
2003-03-04,3291.79
2003-03-05,3318.99
2003-03-06,3289.59
2003-03-07,3316.1
2003-03-10,3237.34
2003-03-11,3209.41
2003-03-12,3223.89
2003-03-13,3321.22
2003-03-14,3337.13
2003-03-17,3446.32
2003-03-18,3481.41
2003-03-19,3507.6
2003-03-20,3525.43
2003-03-21,3629.22
2003-03-24,3508.55
2003-03-25,3542.03
2003-03-26,3524.43
2003-03-27,3513.54
2003-03-28,3492.94
2003-03-31,3438.47
2003-04-01,3471.73
2003-04-02,3549.85
2003-04-03,3517.69
2003-04-04,3543.65
2003-04-07,3564.52
2003-04-08,3550.29
2003-04-09,3518.62
2003-04-10,3531.85
2003-04-11,3525.66
2003-04-14,3585.92
2003-04-15,3642.05
2003-04-16,3596.91
2003-04-17,3631.66
2003-04-21,3618.15
2003-04-22,3685.56
2003-04-23,3701.51
2003-04-24,3690.38
2003-04-25,3647.22
2003-04-28,3716.34
2003-04-29,3723.65
2003-04-30,3723.52
2003-05-01,3710.4
2003-05-02,3769.86
2003-05-05,3764.63
2003-05-06,3784.22
2003-05-07,3764.86
2003-05-08,3736.75
2003-05-09,3781.62
2003-05-12,3825.47
2003-05-13,3809.76
2003-05-14,3798.25
2003-05-15,3818.11
2003-05-16,3816.49
2003-05-19,3736.42
2003-05-20,3742.74
2003-05-21,3745.61
2003-05-22,3780.53
2003-05-23,3814.04
2003-05-27,3883.61
2003-05-28,3880.28
2003-05-29,3851.49
2003-05-30,3921.94
2003-06-02,3950.31
2003-06-03,3960.32
2003-06-04,4014.91
2003-06-05,3988.64
2003-06-06,3976.47
2003-06-09,3940.66
2003-06-10,3967.79
2003-06-11,4017.12
2003-06-12,4039.44
2003-06-13,3990.23
2003-06-16,4074.28
2003-06-17,4062.87
2003-06-18,4055.45
2003-06-19,4018.38
2003-06-20,4022.23
2003-06-23,3962.5
2003-06-24,3966.52
2003-06-25,3928.81
2003-06-26,3972.86
2003-06-27,3945.58
2003-06-30,3947.38
2003-07-01,3960.99
2003-07-02,3996.86
2003-07-03,3965.92
2003-07-07,4019.33
2003-07-08,4058.31
2003-07-09,4034.62
2003-07-10,3981.1
2003-07-11,4009.96
2003-07-14,4034.24
2003-07-15,4012.67
2003-07-16,4002.77
2003-07-17,3967.54
2003-07-18,4026.58
2003-07-21,3990.39
2003-07-22,4020.23
2003-07-23,4021.22
2003-07-24,4011.13
2003-07-25,4066.21
2003-07-28,4059.34
2003-07-29,4042.09
2003-07-30,4035.75
2003-07-31,4053.57
2003-08-01,4018.81
2003-08-04,4019.79
2003-08-05,3959.47
2003-08-06,3968.94
2003-08-07,3995.77
2003-08-08,4028.27
2003-08-11,4038.11
2003-08-12,4078.21
2003-08-13,4066.58
2003-08-14,4085.62
2003-08-15,4088.1
2003-08-18,4115.1
2003-08-19,4127.69
